midlength,2015_1_15,2015_2_15,2015_3_15,2015_4_15,2015_5_15,2015_6_15,2015_7_15,2015_8_15,2015_9_15,2015_10_15,2015_11_15,2015_12_15,2016_1_15,2016_2_15,2016_3_15,2016_4_15,2016_5_15,2016_6_15,2016_7_15,2016_8_15,2016_9_15,2016_10_15,2016_11_15,2016_12_15,2017_1_15,2017_2_15,2017_3_15,2017_4_15,2017_5_15,2017_6_15,2017_7_15,2017_8_15,2017_9_15,2017_10_15,2017_11_15,2017_12_15,2018_1_15,2018_2_15,2018_3_15,2018_4_15,2018_5_15,2018_6_15,2018_7_15,2018_8_15,2018_9_15,2018_10_15,2018_11_15,2019_1_15,2019_2_15,2019_3_15,2019_4_15,2019_6_15,2019_7_15,2019_8_15,2019_11_15,2019_12_15
4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,78,41,28,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,2,6,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,49,50,36,5,3,9,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,8,4,24,3,0,3,1,0,0,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0
10.25,0,7,0,1,1,0,2,0,0,0,0,1,0,1,1,1,5,4,0,53,6,1,2,7,47,31,87,21,12,11,12,0,0,0,0,0,0,14,6,0,0,0,0,24,0,0,0,0,0,9,4,0,0,0,0,0
10.75,1,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4,3,58,4,1,10,1,0,0,0,0,0,0,8,5,2,0,0,0,0,0,0,0,0,2,38,9,0,0,0,0,0
11.25,8,6,13,3,11,6,19,7,0,0,0,1,0,2,5,8,11,7,5,41,14,2,11,2,24,18,50,9,8,18,10,1,0,0,0,0,0,12,16,3,0,0,0,0,0,0,0,3,19,29,2,0,0,0,0,0
11.75,3,5,7,7,20,7,28,10,0,0,5,2,1,0,1,4,7,3,3,7,2,0,7,1,2,2,62,7,5,22,9,11,0,0,0,0,2,9,21,7,1,0,0,0,0,0,0,29,81,32,19,0,0,0,3,0
12.25,32,7,43,21,24,9,64,20,1,0,12,4,4,24,10,14,16,11,6,44,13,7,9,5,7,2,77,33,11,18,21,10,0,0,0,0,11,61,37,9,5,9,0,0,0,0,0,32,82,60,18,0,0,0,5,8
12.75,14,10,21,37,40,15,70,29,5,1,6,6,1,7,4,9,6,9,2,13,1,0,5,1,0,0,22,13,6,11,7,20,0,0,1,0,10,32,28,7,8,14,0,1,1,0,0,38,100,87,52,1,1,1,25,58
13.25,24,16,53,60,47,21,28,26,51,10,28,21,11,61,23,42,12,16,36,97,21,6,29,5,2,9,57,14,20,35,24,77,2,0,0,0,9,69,30,12,14,22,2,1,3,0,0,49,56,90,55,7,5,2,19,32
13.75,17,2,38,56,211,62,28,145,247,21,63,62,46,139,17,22,16,15,11,19,3,1,9,0,2,16,16,2,10,9,9,45,3,0,0,0,9,28,25,6,13,19,8,4,4,0,0,34,9,33,21,12,12,4,11,15
14.25,22,31,50,67,131,41,12,229,321,56,138,93,57,260,82,41,23,31,33,60,14,11,33,5,4,7,9,5,29,9,45,163,11,1,7,0,26,23,30,37,30,19,18,14,6,11,1,21,5,4,10,21,15,1,4,1
14.75,9,9,25,50,212,94,13,318,403,74,154,127,58,232,48,23,14,20,8,13,3,1,16,3,1,2,3,0,7,6,10,27,4,2,18,0,7,6,6,19,15,10,13,13,1,14,6,11,6,5,2,10,15,2,0,4
15.25,18,29,46,27,187,82,7,188,267,40,103,116,37,255,64,13,31,26,24,55,13,30,25,3,6,2,4,0,11,5,29,76,11,0,6,4,26,9,22,27,18,23,21,44,5,15,14,14,13,2,6,18,38,2,0,1
15.75,2,6,18,8,149,62,4,58,77,23,40,48,13,70,22,6,9,7,7,4,2,11,8,1,2,1,1,1,0,0,1,0,0,0,2,1,2,0,0,9,3,3,8,19,0,8,16,1,2,0,2,2,9,1,0,0
16.25,15,24,41,6,10,25,0,40,14,12,13,41,1,105,49,13,27,21,15,27,6,30,48,4,44,18,17,3,5,1,5,10,4,0,0,22,147,87,8,34,17,8,1,28,1,18,17,51,171,0,2,7,8,0,0,0
16.75,3,0,6,1,0,17,0,5,0,0,7,15,0,11,6,0,8,9,4,1,1,5,15,3,4,2,1,0,1,0,1,1,0,0,0,3,14,11,1,21,9,1,1,14,1,14,3,15,49,0,0,8,11,0,0,0
17.25,6,17,14,2,1,4,0,1,0,3,4,2,0,36,16,3,10,14,4,7,1,11,41,0,41,16,16,1,1,1,1,6,0,0,0,9,67,39,5,26,13,2,2,16,3,31,2,57,161,0,0,3,5,0,0,0
17.75,1,0,0,0,1,1,0,0,0,0,7,1,0,3,4,0,1,3,0,0,0,8,8,1,24,6,3,0,0,1,0,0,0,0,0,2,25,7,3,21,2,0,1,2,1,2,0,47,84,0,0,0,1,0,0,0
18.25,1,2,1,0,0,1,0,0,0,1,4,1,0,9,8,0,0,8,9,3,2,2,13,0,28,21,1,2,0,1,1,2,0,0,0,0,19,2,3,33,4,1,0,6,0,3,0,9,43,0,0,0,2,0,0,0
18.75,0,2,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,2,4,0,1,3,1,0,23,14,0,0,0,0,0,0,0,0,0,0,1,0,1,9,2,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0
19.25,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,22,6,0,0,0,0,0,0,0,0,0,0,1,0,1,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
20.25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
20.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
