midlength,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01
12.55,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0
15.5,0,0,1,0,0,2,1,0,0,1,1,0,0,1,0,0,0
18.45,0,0,2,17,2,0,1,4,3,2,7,1,1,6,1,1,0
21.4,1,0,3,57,21,2,7,13,7,9,47,2,23,21,27,2,0
24.35,7,0,16,106,46,19,82,94,25,37,109,6,87,69,71,61,10
27.3,18,0,67,188,151,53,251,172,62,88,169,32,206,98,142,126,53
30.25,35,0,59,271,252,96,329,218,107,155,176,73,241,105,142,154,93
33.2,37,0,72,262,305,123,329,176,159,149,193,124,198,126,179,177,112
36.15,58,0,64,382,319,164,282,183,175,170,171,159,151,275,211,238,103
39.1,48,0,43,462,320,206,245,131,193,157,167,201,146,334,247,249,134
42.05,89,0,37,502,378,276,218,112,210,164,137,251,166,266,303,288,232
45,85,0,40,406,328,286,237,166,228,214,144,344,201,140,278,238,292
47.95,65,0,41,265,239,146,145,168,194,197,146,297,185,74,188,170,291
50.9,39,0,22,158,166,70,128,155,147,169,179,187,127,43,103,153,213
53.85,29,0,6,68,78,36,61,125,80,120,165,108,48,14,67,88,99
56.8,10,0,2,38,40,9,26,68,24,64,113,56,25,1,27,64,31
59.75,2,0,2,16,11,1,14,35,14,33,53,9,10,0,11,25,17
62.7,1,0,1,5,5,1,3,8,6,12,23,3,0,0,1,9,4
65.65,0,0,1,3,1,0,1,1,1,3,6,3,0,0,1,5,0
68.6,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0
